PROGRAM,PRINCPIAL INVESTIGATOR,INSTITUTE,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,STATION,DEPLOYMENT SHIP,IMEI,REF,SERIAL NUMBER,MODEL,SENSOR_MODEL
Argo Canada ONC,Kohen Bauer,ONC,2026-08-04,,,,,300534063813860,4902632,AD2700-22CA002,ARVOR_D,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR"
Argo Canada ONC,Kohen Bauer,ONC,2026-08-06,,,,,300534063508930,4902648,AD2700-22CA006,ARVOR_D,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR"
Argo Canada,Blair Greenan,BIO,2026-10-02,42.8759,-61.6261,,JAMES COOK,300125062496540,4902705,10876,APEX,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,BIO,2026-10-02,43.2057,-57.5132,,JAMES COOK,300125062398780,4902706,10877,APEX,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,BIO,2027-02-01,-76,-167.5,,,300125062391790,4902711,10882,APEX,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,BIO,2027-02-01,-76.5,-159,,,300125062494580,4902718,10889,APEX,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-01,55.25783333,-53.98916667,,JAMES COOK,300125063319510,4902726,P5389A-25CA001,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-01,55.41866667,-53.82266667,,JAMES COOK,300125063415280,4902727,P5389A-25CA002,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-01,55.607,-53.62566667,,JAMES COOK,300125063310200,4902728,P5389A-25CA003,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-01,55.84016667,-53.38916667,,JAMES COOK,300125063313520,4902719,P5389A-25CA004,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-01,56.10783333,-53.11666667,,JAMES COOK,300125063315260,4902720,P5389A-25CA005,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-01,56.53533333,-52.6735,,JAMES COOK,300125063318510,4902731,P5389B-25CA001,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-01,56.954,-52.23533333,,JAMES COOK,300125063411300,4902732,P5389B-25CA002,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-01,57.37266667,-51.78833333,,JAMES COOK,300125063318200,4902733,P5389B-25CA003,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-01,57.79316667,-51.33733333,,JAMES COOK,300125063419060,4902734,P5389B-25CA004,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-01,58.21666667,-50.8765,,JAMES COOK,300125063414050,4902723,P5389B-25CA005,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-01,58.63733333,-50.41666667,,JAMES COOK,300125063413300,4902721,P5389A-25CA006,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-01,59.06666667,-49.95,,JAMES COOK,300125063217740,4902729,P5389A-25CA007,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-01,59.4765,-49.47166667,,JAMES COOK,300125063211730,4902722,P5389A-25CA008,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-01,59.75,-49.16666667,,JAMES COOK,300125063212730,4902730,P5389A-25CA009,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-01,42.4759,-61.4261,,JAMES COOK,300125063213730,4902724,P5389B-25CA006,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-01,42.8759,-61.6261,,JAMES COOK,300125063217730,4902725,P5389B-25CA007,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-01,43.2057,-57.5132,,JAMES COOK,300125063128670,4902735,P5389B-25CA008,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-01,43.4057,-57.7132,,JAMES COOK,300125063215730,4902736,P5389B-25CA009,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-15,53.7527,-48.5351,,LOUIS S. ST. LAURENT,300125063213730,,P5389A-25CAxxx,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-15,54.9759,-45.6261,,LOUIS S. ST. LAURENT,300125063217730,,P5389A-25CAxxx,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-15,56.1057,-42.5132,,LOUIS S. ST. LAURENT,300125063128670,,P5389A-25CAxxx,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-15,57.4057,-39.7132,,LOUIS S. ST. LAURENT,300125063215730,,P5389A-25CAxxx,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-15,58.5057,-36.7132,,LOUIS S. ST. LAURENT,300125063215730,,P5389A-25CAxxx,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-15,59.7759,-33.4261,,LOUIS S. ST. LAURENT,300125063213730,,P5389B-25CAxxx,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-15,60.9759,-30.6261,,LOUIS S. ST. LAURENT,300125063217730,,P5389B-25CAxxx,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-15,61.2057,-28.5132,,LOUIS S. ST. LAURENT,300125063128670,,P5389B-25CAxxx,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-15,62.6057,-27.7132,,LOUIS S. ST. LAURENT,300125063215730,,P5389B-25CAxxx,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
